paper_id,title,authors,year,venue,doi,url,pdf_url,source_database,abstract,keywords,citation_count,open_access_status,domain,task_type,models_mentioned,datasets_mentioned,metrics_mentioned,relevance_score,screening_status,exclusion_reason
P847B6B202A,clinical-embedding-fix: Post-hoc corrections for degenerate clinical text embeddings in RAG pipelines,Yngve Mikkelsen,2026,,10.2139/ssrn.6497074,https://doi.org/10.2139/ssrn.6497074,,Crossref,"clinical-embedding-fix is a lightweight Python library for diagnosing and correcting degenerate embedding geometry in clinical retrieval-augmented generation (RAG) pipelines without retraining the model. Many transformer-based embedding models produce near-collapsed representations of clinical text, characterised by high pairwise cosine similarity and low effective dimensionality, thereby degrading retrieval accuracy. The library provides geometric diagnostics (participation ratio, average cosine similarity, SVD-based anisotropy), ZCA whitening in both deployment-realistic (corpus-only) and oracle (transductive) modes, and optimal layer selection across transformer hidden states. Validated across 11 model configurations and approximately 1,400 experimental conditions on clinical corpora, corpus-only whitening improved MRR@10 by +0.16 to +0.27 on degraded models. The only dependency is NumPy, and the core intervention can be applied to any existing embedding pipeline in two lines of code.",,0,unknown,medical,retrieval; embedding; RAG,,,MRR; Accuracy,,unscreened,
P3C1AF4AB6A,Which Works Best for Vietnamese? A Practical Study of Information Retrieval Methods across Domains,Long S. T. Nguyen; Tho Quan,2026,EACL (Findings) 2026,,https://openreview.net/forum?id=5rIy63ZFjr,https://aclanthology.org/2026.findings-eacl.110.pdf,OpenReview,"Large Language Models (LLMs) depend on retrieval for factual grounding in Retrieval-Augmented Generation (RAG), placing Information Retrieval (IR) at the core of modern Question Answering (QA) systems. While lexical, dense, and hybrid paradigms have been extensively benchmarked in English, their relative effectiveness for Vietnamese remains insufficiently characterized, especially under realistic multi-domain settings. Existing studies are typically confined to single domains or curated datasets, limiting cross-domain comparability and obscuring paradigm-level trade-offs. We introduce the first domain-normalized, multi-domain benchmark for Vietnamese IR under a unified and reproducible evaluation protocol, spanning six domains and ten datasets across education, legal, healthcare, customer support, lifestyle reviews, and open-domain knowledge. We evaluate lexical, neural-sparse, late-interaction, dense, and hybrid paradigms across diverse Vietnamese-specific and multilingual embedding backbones, and release two QA datasets, EduCoQA and CSConDa, constructed from authentic counseling and customer-service interactions. Beyond reporting benchmark performance, we derive systematic insights into lexical–semantic hybridization, specialization versus robustness trade-offs, and the limited predictive value of model scale for retrieval effectiveness. All datasets and evaluation scripts are publicly available at https://github.com/longstnguyen/ViRE.",,,open,legal; medical,retrieval; embedding; RAG; benchmark,,,,,unscreened,
P452D138CC5,ViRanker: A BGE-M3 & Blockwise Parallel Transformer Cross-Encoder for Vietnamese Reranking,Phuong-Nam Dang; Kieu-Linh Nguyen; Thanh-Hieu Pham,2026,Lecture Notes in Networks and Systems,10.1007/978-3-032-18316-3_34,https://www.semanticscholar.org/paper/68012bc6293af17bf555cb5e3a12fc326bb2ca08,https://arxiv.org/pdf/2509.09131v1,Crossref; OpenAlex; Semantic Scholar; arXiv,"This paper presents ViRanker, a cross-encoder reranking model tailored to the Vietnamese language. Built on the BGE-M3 encoder and enhanced with the Blockwise Parallel Transformer, ViRanker addresses the lack of competitive rerankers for Vietnamese, a low-resource language with complex syntax and diacritics. The model was trained on an 8 GB curated corpus and fine-tuned with hybrid hard-negative sampling to strengthen robustness. Evaluated on the MMARCO-VI benchmark, ViRanker achieves strong early-rank accuracy, surpassing multilingual baselines and competing closely with PhoRanker. By releasing the model openly on Hugging Face, we aim to support reproducibility and encourage wider adoption in real-world retrieval systems. Beyond Vietnamese, this study illustrates how careful architectural adaptation and data curation can advance reranking in other underrepresented languages.",,0,open,general,retrieval; benchmark,BGE-M3,mMARCO,Accuracy,,unscreened,
PB38E667757,ViCLIP-OT: The First Foundation Vision-Language Model for Vietnamese Image-Text Retrieval with Optimal Transport,Quoc-Khang Tran; M. Nguyen; Nguyen-Khang Pham,2026,arXiv.org,10.48550/arxiv.2602.22678,https://www.semanticscholar.org/paper/bd078e9195069ee9eb59af4bd0351837a2ec30c0,https://arxiv.org/pdf/2602.22678,Semantic Scholar,"Image-text retrieval has become a fundamental component in intelligent multimedia systems; however, most existing vision-language models are optimized for highresource languages and remain suboptimal for low-resource settings such as Vietnamese. This work introduces ViCLIP-OT, a foundation vision-language model specifically designed for Vietnamese image-text retrieval. The proposed framework integrates CLIP-style contrastive learning with a Similarity-Graph Regularized Optimal Transport (SIGROT) loss to enhance global cross-modal consistency and mitigate modality gap issues. Extensive experiments on three Vietnamese benchmarks (UITOpenViIC, KTVIC, and Crossmodal-3600) demonstrate that ViCLIP-OT consistently outperforms CLIP and SigLIP baselines in both in-domain and zero-shot settings. On UIT-OpenViIC, the model achieves an average Recall@K of 67.34%, improving upon CLIP by 5.75 percentage points. In zero-shot evaluation on Crossmodal-3600, ViCLIPOT surpasses CLIP by 11.72 percentage points. Embedding-space analysis further confirms improved alignment and reduced modality gap. The results indicate that integrating SIGROT provides an effective and scalable strategy for cross-modal retrieval in low-resource languages, offering practical implications for intelligent multimedia retrieval systems in Vietnamese and other underrepresented linguistic contexts.",,0,open,general,retrieval; embedding; benchmark,,,Recall,,unscreened,
P0B2625DE40,VN-MTEB: Vietnamese Massive Text Embedding Benchmark,Loc Pham; Tung Luu; Thu Vo; Minh Nguyen; Viet Hoang,2026,Conference of the European Chapter of the Association for Computational Linguistics,10.18653/v1/2026.findings-eacl.86,https://www.semanticscholar.org/paper/2e85341d2acc461ec1d5fce33b88484e8048ef5c,https://arxiv.org/pdf/2507.21500v1,Crossref; OpenAlex; Semantic Scholar; arXiv,"Vietnam ranks among the top countries in terms of both internet traffic and online toxicity. As a result, implementing embedding models for recommendation and content control duties in applications is crucial. However, a lack of large-scale test datasets, both in volume and task diversity, makes it tricky for scientists to effectively evaluate AI models before deploying them in real-world, large-scale projects. To solve this important problem, we introduce a Vietnamese benchmark, VN-MTEB for embedding models, which we created by translating a large number of English samples from the Massive Text Embedding Benchmark using our new automated framework, thereby contributing an extension of the Massive Multilingual Text Embedding Benchmark with our additional Vietnamese tasks and datasets. We leverage the strengths of large language models (LLMs) and cutting-edge embedding models to conduct translation and filtering processes to retain high-quality samples, guaranteeing a natural flow of language and semantic fidelity while preserving named entity recognition (NER) and code snippets. Our comprehensive benchmark consists of 41 datasets from six tasks specifically designed for Vietnamese text embeddings. In our analysis, we find that bigger and more complex models using Rotary Positional Embedding outperform those using Absolute Positional Embedding in embedding tasks.",,4,open,general,embedding; benchmark,,MTEB; VN-MTEB,,,unscreened,
PDBDC6CDFCE,TopoLingEval: A framework for multilingual embedding geometry,,2026,OpenReview,,https://openreview.net/forum?id=FVc4XYmrRw,,OpenReview,,,,unknown,general,embedding,,,,,unscreened,
PD6C1C5AEEE,"The Application of Deep Learning in Qur’anic Tafsir Retrieval Using SBERT, FAISS and BERT-QA",Asti Herliana,2026,Journal of Applied Data Sciences,10.47738/jads.v7i1.1000,https://doi.org/10.47738/jads.v7i1.1000,,Crossref,,,0,unknown,general,retrieval,Sentence-BERT,,,,unscreened,
P3A3D3A5CCD,Segmentation and Processing of German Court Decisions from Open Legal Data,Harshil Darji; Martin Heckelmann; Christina Kratsch; Gerard de Melo,2026,arXiv,10.3233/faia251597,http://arxiv.org/abs/2601.01449v1,https://arxiv.org/pdf/2601.01449v1,arXiv,"The availability of structured legal data is important for advancing Natural Language Processing (NLP) techniques for the German legal system. One of the most widely used datasets, Open Legal Data, provides a large-scale collection of German court decisions. While the metadata in this raw dataset is consistently structured, the decision texts themselves are inconsistently formatted and often lack clearly marked sections. Reliable separation of these sections is important not only for rhetorical role classification but also for downstream tasks such as retrieval and citation analysis. In this work, we introduce a cleaned and sectioned dataset of 251,038 German court decisions derived from the official Open Legal Data dataset. We systematically separated three important sections in German court decisions, namely Tenor (operative part of the decision), Tatbestand (facts of the case), and Entscheidungsgründe (judicial reasoning), which are often inconsistently represented in the original dataset. To ensure the reliability of our extraction process, we used Cochran's formula with a 95% confidence level and a 5% margin of error to draw a statistically representative random sample of 384 cases, and manually verified that all three sections were correctly identified. We also extracted the Rechtsmittelbelehrung (appeal notice) as a separate field, since it is a procedural instruction and not part of the decision itself. The resulting corpus is publicly available in the JSONL format, making it an accessible resource for further research on the German legal system.",,,open,legal,retrieval,,,,,unscreened,
PD25C992538,Rotation Key Scheduling: Temporal Invalidation of Alignment-Based Embedding Inversion in RAG Systems,SeungSoo Baek,2026,,10.2139/ssrn.6676870,https://doi.org/10.2139/ssrn.6676870,,Crossref,"Text embeddings stored in vector databases of Retrieval-Augmented Generation (RAG) systems are vulnerable to few-shot alignment attacks such as ALGEN, which reconstruct the original text from as few as 1,000 leaked embedding–text pairs. Existing defenses are all static: utility-preserving transforms (orthogonal rotation, WET, shuffling) are absorbed by the alignment matrix, while strong perturbation mechanisms such as LapMech and SPARSE-like variants suppress alignment only at the cost of retrieval quality. We propose Rotation Key Scheduling (RKS), a protocol that periodically regenerates the orthogonal rotation key based on Moving Target Defense principles. RKS invalidates alignment matrices learned in previous epochs because the residual rotation between independently Haar-sampled keys is itself Haar-distributed. In alignment-stage experiments with five seeds, cross-epoch alignment cosine similarity drops to 0.005 ± 0.018 on PII-300K (177K documents, GTR-base) and remains near zero across 12 encoder–dataset combinations on three BEIR benchmarks, while Recall@k is preserved at 100% relative to the undefended baseline under exact inner-product search. However, in our single-seed re-alignment calibration, re-alignment recovers quickly when new paired observations become available within the current epoch (b&apos;=1 yields cosine 0.534), so RKS security depends on bounding per-epoch paired leakage via rate limiting. We formalize this relationship as an operational condition (Proposition 1), linking the rotation period T, leakage rate ρ, and the minimum alignment samples b_min(τ) required to reach a target attack quality τ. This paper evaluates the alignment stage only; text-level reconstruction metrics (Rouge-L, BLEU) via the full decoder pipeline are left for future work.",,0,unknown,general,retrieval; embedding; RAG; benchmark,,BEIR,Recall,,unscreened,
PBE0FEDCF5E,MedRAGChecker: Claim-Level Verification for Biomedical Retrieval-Augmented Generation,Yuelyu Ji; M. Kwak; Hang Zhang; Xizhi Wu; Chenyu Li; Yanshan Wang,2026,arXiv.org,10.48550/arxiv.2601.06519,https://www.semanticscholar.org/paper/f431f33224310d45fd80933a21d44c1464ceb873,https://arxiv.org/pdf/2601.06519,Semantic Scholar,"Biomedical retrieval-augmented generation (RAG) can ground LLM answers in medical literature, yet long-form outputs often contain isolated unsupported or contradictory claims with safety implications. We introduce MedRAGChecker, a claim-level verification and diagnostic framework for biomedical RAG. Given a question, retrieved evidence, and a generated answer, MedRAGChecker decomposes the answer into atomic claims and estimates claim support by combining evidence-grounded natural language inference (NLI) with biomedical knowledge-graph (KG) consistency signals. Aggregating claim decisions yields answer-level diagnostics that help disentangle retrieval and generation failures, including faithfulness, under-evidence, contradiction, and safety-critical error rates. To enable scalable evaluation, we distill the pipeline into compact biomedical models and use an ensemble verifier with class-specific reliability weighting. Experiments on four biomedical QA benchmarks show that MedRAGChecker reliably flags unsupported and contradicted claims and reveals distinct risk profiles across generators, particularly on safety-critical biomedical relations.",,1,open,medical,retrieval; RAG; benchmark,,,,,unscreened,
