paper_id,title,authors,year,venue,doi,url,pdf_url,source_database,abstract,keywords,citation_count,open_access_status,domain,task_type,models_mentioned,datasets_mentioned,metrics_mentioned,relevance_score,screening_status,exclusion_reason
P3E9216E429,End-to-End Chatbot Evaluation with Adaptive Reasoning and Uncertainty Filtering,Nhi Dang; Tung Le; Huy-Tien Nguyen,2026,,,https://www.semanticscholar.org/paper/2d33af6a96292d9161200e3f7a1adcc74bfa0525,,Semantic Scholar,"Large language models (LLMs) combined with retrieval augmented generation have enabled the deployment of domain-specific chatbots, but these systems remain prone to generating unsupported or incorrect answers. Reliable evaluation is therefore critical, yet manual review is costly and existing frameworks often depend on curated test sets and static metrics, limiting scalability. We propose an end-to-end automatic evaluator designed to substantially reduce human effort. Our system generates Q\&A pairs directly from the underlying knowledge base, uses LLMs to judge chatbot responses against reference answers, and applies confidence-based filtering to highlight uncertain cases. Applied to a Vietnamese news dataset, the evaluator achieves high agreement with human judgments while significantly lowering review overhead. The framework is modular and language-agnostic, making it readily adaptable to diverse domains. This work introduces a practical, scalable solution for evaluating chatbots with minimal reliance on manual intervention.",,0,unknown,news,retrieval; RAG; benchmark,,,,8,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P7E3EA2F69C,ViConBERT: Context-Gloss Aligned Vietnamese Word Embedding for Polysemous and Sense-Aware Representations,Khang T. Huynh; Dung Nguyen; B. Nguyen,2025,arXiv.org,10.48550/arxiv.2511.12249,https://www.semanticscholar.org/paper/fac25617d5d273aa9809e10a798fb5706784cad7,https://arxiv.org/pdf/2511.12249,Semantic Scholar,"Recent advances in contextualized word embeddings have greatly improved semantic tasks such as Word Sense Disambiguation (WSD) and contextual similarity, but most progress has been limited to high-resource languages like English. Vietnamese, in contrast, still lacks robust models and evaluation resources for fine-grained semantic understanding. In this paper, we present ViConBERT, a novel framework for learning Vietnamese contextualized embeddings that integrates contrastive learning (SimCLR) and gloss-based distillation to better capture word meaning. We also introduce ViConWSD, the first large-scale synthetic dataset for evaluating semantic understanding in Vietnamese, covering both WSD and contextual similarity. Experimental results show that ViConBERT outperforms strong baselines on WSD (F1 = 0.87) and achieves competitive performance on ViCon (AP = 0.88) and ViSim-400 (Spearman's rho = 0.60), demonstrating its effectiveness in modeling both discrete senses and graded semantic relations. Our code, models, and data are available at https://github.com/tkhangg0910/ViConBERT",,0,open,general,retrieval; embedding; benchmark,XLM-R; PhoBERT,,,7,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +1 reusable model/data/code signal detected | +1 published in or after 2022
PD929527CA7,Text Similarity Technique Using BGE-M3,J Praveen Gujjar; H R Prasanna Kumar,2025,2025 International Conference on Advances in Modern Age Technologies for Health and Engineering Science (AMATHE),10.1109/amathe65477.2025.11081245,https://www.semanticscholar.org/paper/25ab713bf2b973057ed2e9d0894cfb0c014c0610,,Crossref; Semantic Scholar,"Text similarity techniques are important in most NLP applications, such as information retrieval, text classification, and semantic search. This paper focuses on exploring the applicability and performance of the BGE-M3 model, which is a deep learning model with the ability to use advanced transformer architectures and multi-task learning for efficient capturing of semantic relationships between textual data. The paper evaluates BGE-M3 performance compared with traditional similarity measures, like cosine similarity, and modern similarity embedding models such as Sentence-BERT and Universal Sentence Encoder, over benchmark datasets. The focus metrics in the paper include accuracy, F1-score, and computational efficiency as evidence of BGE-M3’s superior capability of capturing subtle semantic relationships. This work, therefore, outlines how the model can be easily adapted to accommodate domain-specific challenges in text similarity by fine-tuning the model’s parameters. The experiments illustrated that BGE-M3 comes with a great solution in regards to scalable text similarity, improving NLP applications. Further checks would include assessing its applicability in real systems, particularly into scalability and capabilities across different linguistic boundaries. This paper highlighted the various BGE-M3 Model and also compares with Cosine similarity along with the traditional metrics.",,0,unknown,general,retrieval; embedding; benchmark,BGE-M3; Sentence-BERT,,Accuracy,6,supporting,+2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P50B17CFD56,Sentence-Aware Bahnaric-Vietnamese Lexical Mapping with Contrastive Contextual Representations,Thi Ty Nguyen; Phat T. Tran-Truong; Long Nguyen; Tan Sang Nguyen; Tho Quan,2025,LM4UC@AAAI2026,,https://openreview.net/forum?id=JnDLZSEwOD,https://openreview.net/pdf/6775ea662454c0cd3d68eb91c0a4493d8284de4a.pdf,OpenReview,"Underserved and extremely low-resource languages challenge current language technologies, especially when lexical borrowing and synonymy undermine exact-match assumptions. We study Bahnaric-Vietnamese lexical mapping as a step toward meaning-preserving sentence translation. Unlike prior work based on static embeddings and Mean Squared Error (MSE) alignment, we learn sentence-aware word representations with a small multilingual transformer pretrained on Vietnamese, adapt it with Low-rank adaptation (LoRA) for parameter efficiency, and align Bahnaric-Vietnamese pairs using a two-layer projection trained with InfoNCE contrastive loss. We exploit a new community-sourced lexicon of approximately 10,000 Bahnaric-Vietnamese pairs collected with local partners, capturing one-to-one, one-to-many, and many-to-one anchor relations as well as extensive lexical borrowing. Experiments evaluate retrieval-style alignment with Precision at K (P@K) and Mean Reciprocal Rank (MRR), as well as sentence translation using top-1 accuracy, Bilingual Evaluation Understudy (BLEU), Character n-gram F-score (ChrF), and embedding-based BERTScore. We also qualitatively analyze cases where n-gram metrics under-credit semantically adequate outputs in synonym-rich settings, and our ablation analysis shows that InfoNCE contrastive training dramatically outperforms MSE regression. On the $\sim$1k lexicon, our best model attains P@1 $\approx 0.53$ and MRR $\approx 0.62$, substantially improving over a static-embedding MSE baseline, while on the richer $\sim$10k community lexicon it reaches comparable sentence-level top-1 accuracy and BERTScore F1 despite slightly lower BLEU and chrF, highlighting both the benefits of the expanded resource and the remaining challenges of synonym-rich, low-frequency vocabulary.",,,open,general,retrieval; embedding; benchmark,XLM-R; mBERT,,MRR; MAP; Accuracy; Precision,9,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
PB78F52731A,Optimizing Answer Generator in Vietnamese Legal Question Answering Systems Using Language Models,Huong Le; Ngoc Luu; Thanh Nguyen; Tuan Dao; Sang Dinh,2025,Crossref,,https://openreview.net/forum?id=3U2TAjhXn7,,OpenReview,"The development of large language models (LLMs) such as ChatGPT and Gemini has led to impressive advancements in question answering (QA) systems. However, they often rely on generic knowledge from the internet, resulting in hallucinated answers when applied to domain-specific QA tasks. Furthermore, their operational dependence on powerful GPUs poses challenges for practical software deployment. Building a QA systems for low-resource languages like Vietnamese is even more challenging due to the scarcity of labeled data and limited pre-trained language models. In this study, we aim at constructing a Vietnamese legal QA system using a retrieval-augmented generation approach to reduce incorrect outputs. Our focus is on improving answer generation accuracy by training small-scale LLMs suitable for real-world deployment. Our contributions are: (i) constructing Vietnamese legal provisions and QA datasets for training the system; and (ii) proposing methods to fine-tune language models with QA capabilities in the legal domain. Experimental results demonstrate that it is possible to train an LLM with fewer computational resources and a smaller dataset while maintaining effectiveness. Our findings highlight that designing an efficient training and fine-tuning strategy is crucial for overcoming these challenges, particularly in the context of Vietnamese legal question-answering tasks.",,,unknown,legal,retrieval; RAG,,,Accuracy,8,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
PDD35BAA13F,LAURA: A Legal Agent Using Reasoning and Acting for Vietnamese Law,Van-Khanh Tran; V. Nguyen,2025,International Conference on Knowledge and Systems Engineering,10.1109/kse68178.2025.11309628,https://www.semanticscholar.org/paper/7f4651be46ac1c3f458a6b8493edf8660175721c,,Semantic Scholar,"Accessing legal information in Vietnam is fraught with challenges, primarily due to the sheer volume of legal documents and the complexity of legal language. While Large Language Models (LLMs) present a potential solution, they are often hindered by issues of ‘hallucination’ and outdated knowledge. To overcome these obstacles, this paper introduces LAURA (A Legal Agent Using Reasoning and Acting), a novel agent-based question-answering system tailored for Vietnamese law. LAURA operates on an agentic workflow, leveraging an LLM as its core reasoning engine. The system is built on the ReAct paradigm, which synergizes reasoning with the use of retrieval tools to process legal queries effectively. To enhance accuracy and minimize errors, a custom retrieval module was developed, combining Reciprocal Rank Fusion (RRF) with the BM25 sparse retriever and the multilingual-e5 dense retriever. Furthermore, LAURA integrates Tavily Search to access the latest legal information from external sources in real-time. This integrated approach demonstrates the significant potential of combining agentic reasoning with multi-source retrieval to create an accurate and interpretable legal question-answering system for the Vietnamese language.",,0,unknown,legal,retrieval,multilingual-e5; E5; BM25,,Accuracy,10,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P5D46BF53AC,Integrating Legal BERT-Based Embedding and ReAct Multi-Agent for an Intelligent Consulting System,Tho H. Nguyen; Hung Q. Ngo; Vuong T. Pham; Dung A. Tran; Anh T. Huynh; Hien D. Nguyen,2025,Frontiers in artificial intelligence and applications,10.3233/faia250544,https://doi.org/10.3233/faia250544,,OpenAlex,"In Vietnam, accessing accurate and personalized legal advice remains a significant challenge due to the complexity of legal documents and limited public legal literacy. This paper introduces an intelligent legal consulting system that integrates three key components: the Legal-Onto knowledge representation model, the VietnamLegalText-SBERT embedding model, and a ReAct-based multi-agent framework. Legal-Onto organizes legal knowledge into semantic graphs of legal concepts, capturing internal relationships, definitions, and key attributes from legal texts. Each node in the knowledge graph is embedded using VietnamLegalText-SBERT—a BERT-based model fine-tuned on Vietnamese legal corpora—and stored in Elasticsearch to enable efficient vector-based retrieval. A multi-agent architecture facilitates step-by-step reasoning, query decomposition, document retrieval, legal interpretation, and output validation. The system is evaluated on real-world legal queries collected from public sources, showing superior performance over a general-purpose GPT-4o baseline in terms of answer accuracy, citation correctness, and contextual relevance. The results demonstrate that combining domain-specific semantic modeling with reasoning agents yields interpretable, reliable, and context-aware legal support, paving the way for broader public access to legal guidance in Vietnam.",,0,unknown,legal,retrieval; embedding; benchmark,Sentence-BERT,,Accuracy,10,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P8B11775FA2,Integrating Knowledge Graph with Retrieval-Augmented Generation for Vietnamese Legal Question Answering,Vuong T Pham; Minh Phan,2025,DS Journal of Digital Science and Technology,10.59232/dst-v5i1p101,https://www.semanticscholar.org/paper/5f76798b33056ba04c2662ffcecb757c6bd7bda9,,Crossref; Semantic Scholar,"Large Language Models (LLMs) are increasingly used for question answering, but legal applications require grounded answers with article-level citations and minimal unsupported statements. This paper presents a framework that integrates an ontology-driven Knowledge Graph (KG) with Retrieval-Augmented Generation (RAG) for Vietnamese legal question answering. The method builds a document-aware KG that preserves the hierarchical structure of statutes (Document → Chapter → Section → Article → Clause → Point) and encodes semantic and cross-reference relations. Graph-aware retrieval is combined with a hybrid ranking function that balances semantic similarity and graph-derived confidence, and the retrieved legal provisions are provided to an LLM using a constrained prompting template to generate answers with explicit citations. Experiments on three Vietnamese law domains (Electronic Transaction Law, Land Law, and Labor Law) report 85.7% answer accuracy, outperforming BM25 keyword search (62.3%) and a pure LLM baseline (71.5%), while improving citation quality. The framework is intended to increase traceability by grounding generation in retrieved statutory provisions.",,0,unknown,legal,retrieval; RAG,BM25,,Accuracy,10,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P6198AA66FC,Integrating Information Retrieval and Large Language Models for Vietnamese Legal Document Query Systems,Pham Hien; Duong Nhi; Pham Huyen,2025,"Proceedings of the 17th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",10.5220/0013751200004000,https://www.semanticscholar.org/paper/368b4c5160e9cd705f280b918cba6004e50eca91,,Crossref; Semantic Scholar,": The complexity of Vietnamese legal documents poses significant challenges in accessing legal information for both professionals and the general public. Traditional legal information retrieval methods are time-consuming and require specialized expertise to navigate the intricate hierarchy of laws, decrees, and regulations. This paper introduces a Vietnamese legal document query system that integrates Information Retrieval (IR) techniques with Large Language Models (LLMs) to automate legal document access and provide accurate, context-aware responses to legal queries. The proposed system employs a Retrieval-Augmented Generation (RAG) architecture, combining vector-based document retrieval with LLMs to generate precise, context-informed answers. Key components include a document indexing module processing 45,000 Vietnamese legal documents, a vector database for semantic search, and an LLM-powered response generation interface. The system leverages 350,000 legal Q&A pairs from authoritative sources to understand complex legal terminology and provide contextually relevant responses. In a comprehensive evaluation, the system was assessed using both performance metrics (via RAGAs framework, including context recall and ROUGE scores) and user studies involving legal professionals and law students. The results indicate that integrating IR with LLMs substantially improves the relevance and accuracy of legal responses, reducing response time by 58%. Users reported high satisfaction levels (average 4.23/5) with the system's ability to answer complex legal queries, achieving 89% accuracy across 12 legal categories. Overall, our findings demonstrate that IR-augmented LLM systems can effectively automate legal information access, alleviating professional workloads and democratizing legal knowledge access in Vietnamese legal contexts.",,0,unknown,legal,retrieval; RAG; benchmark,,,Recall; Accuracy,10,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
P6204B2E835,Fusion-Based Document Retrieval for Low-Resource Vietnamese Legal Texts,Van-Khanh Tran; Tien-Bang Tran,2025,2025 17th International Conference on Knowledge and System Engineering (KSE),10.1109/kse68178.2025.11309665,https://www.semanticscholar.org/paper/f5f4ce4690da77fe1698650df0e31406530add8f,,Crossref; Semantic Scholar,"Efficient retrieval of relevant legal documents is crucial in the legal domain, particularly for languages with limited computational resources such as Vietnamese. Vietnamese legal texts pose significant challenges due to their complex structure, formal language, and specialized terminology. Traditional retrieval systems often struggle to deliver accurate and relevant results in this context. This paper presents a fusion-based document retrieval system specifically designed for Vietnamese legal texts. By combining multiple retrieval methods, including traditional lexical matching and modern neural network-based techniques, we leverage their complementary strengths to enhance retrieval performance. Our system incorporates domain-specific knowledge and linguistic features unique to the Vietnamese language and legal texts, ensuring high relevance and accuracy in search results. We provide a comprehensive evaluation of our system, demonstrating its superiority over existing single-method retrieval approaches.",,0,unknown,legal,retrieval; benchmark,,,Accuracy,10,supporting,+3 directly addresses Vietnamese retrieval/embedding | +2 includes comparative evaluation signals | +2 retrieval/evaluation metrics detected | +1 target-domain terminology detected | +1 reusable model/data/code signal detected | +1 published in or after 2022
